text,value
Your Chanel amazing💕😍 💯💯💯,0.0
"CS IT Preparation ke liye ye channel best h:- <a href=""https://www.youtube.com/channel/UCNburME-Ec74bow9hhvASRg"">https://www.youtube.com/channel/UCNburME-Ec74bow9hhvASRg</a>",0.0
Ye video dekhne wale log hai isi hisab se dekho compitition kitna high hoga aur ham abhi tak kaha pahuch paye hai...,0.0
🙏 good lecture,0.0
Best thanks for video,0.0
Good.,0.0
Tq bro,0.0
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0.0
@Geralt thank you,0.0
Thnaks,0.0
Thank you very much QS...you help me a lot....(◍•ᴗ•◍)❤,0.0
It is very helpful video,0.0
Your channel is very helpful,0.0
Mai bhi aap ke jaise banna chahti,0.0
Very lonely video thanks for you,0.0
Thank you ....very much I love you .... really a quick support you give the answer of many questions of mine 💜🥂,0.0
Very very important for students and thank you for motivated me 😊👍,0.0
@Nature lover boy vaaipe illa bro... Tier 4 colleges kuda kidaikkaadhu... For cse it,0.0
EEE GOOD BRO,0.0
@Raj Kumar placement ila nu ninga pathigla !! MCET best clg bro,0.0
Is anna university regional campus coimbatore is good.,0.0
"bro my cut off 171.5 ECE, EEE mech nalla college sollunga:yt::thanksdoc::thanksdoc::thanksdoc::thanksdoc::yt::yt::yt:",0.0
Mam abhi best opportunities cse me hai kya aur placements kaise hai,0.0
@Geralt whics is best SVCe vs RMK vs sri sai ram,0.0
Bro 169.5 mbc kct la cse/it/ai&amp;ds kedaikuma.....<br>Which is best bro Psna be/btech or integrated mtech in vit ....<br><br>Please reply bro,0.0
"Hi bro<br>My cutoff 135<br>General rank 87485<br>MBC Rank 22322<br>Course AIML,CSE,IT<br>Which college is best<br>Please let me know....",0.0
Absolutely right,0.0
Bohot mast hai,0.0
Supper,0.0
👍👍👍tqq so much,0.0
@Tarun thanks bro,0.0
Iot video we want,0.0
nice.,0.0
Love your 100+ videos! I would of added  hardware interrupts.,0.0
Thank you so much sir ❤️☺️,0.0
Thank you for this Information...,0.0
"I love the ending: <br><br>I&#39;ve been developping for over 10 years now, and still there is 3 things I hate about computers<br>-&gt; Printers (That stop to work for no reason)<br>-&gt; Email setup (and all the additional shananigans that is added to &quot;try&quot; to prevent spam)<br>-&gt; Routers (that you have to plug and unplug in a certain order otherwise they can&#39;t figure out by themself how to autoretry connection to the modem)",0.0
Thanks for your advices man they&#39;re so much precious to me,0.0
Amazing 🔥,0.0
"Funny cuz my pops wanted me to go into cpu science. Its not that I didnt want to, its just I saw that Calc II, Linear Algebra, &amp; 2 calculated Physics classes that told me nahhh kid I&#39;m good cuz I hated Math. But I self taught myself how to code, feel like I can get a job as a Software, ios, Android, or full stack developer anywhere lol... now or days theres coding bootcamps &amp; ppl can learn on YouTube about coding languages if they wanna get into software or web development. I learned that my radio/tv/film degree coupled with coding skills would make me unstoppable. Shit i can create my own platform🤷🏾‍♂️",0.0
"Wow, thanks. What Leslie think about blockchain, I would love to hear his answer.",0.0
"I aspire, to be a better engineer in medical and computer field thank you this was super inspirational.",0.0
Thanks for the positive advice about internships!😎,0.0
My technical career started with mother f’n printers lol. The amount of good karma you have earned with this vid is immeasurable.,0.0
@Asha Israni thanks,0.0
"@Girts Jermacans nice, based on what I read it&#39;s pretty similar, not too sure on the differences tho, good luck man especially in this lockdown",0.0
"Thanks man, this will definitely help and give me an idea CS degree or uni life in general. I&#39;m actually starting end of this month. Wish me luck.",0.0
Thanks you sir🙏,0.0
100% great work,0.0
I had the same thank you so much I am still in the college and that video helped me,0.0
nice work,0.0
I am 12 student... Thanks sir 👍👍😊,0.0
"hhahahaha, so true about printers. My last injury was touching a heating lamp on a printer and getting really burned looool. Hurted like hell for a couple of days.<br><br>Love Your videos and You are the only programming channel I subscribe to. Would love for you to go more into datatypes for different use cases",0.0
Very very helpful video thanks,0.0
Amazing 100 concepts!,0.0
"I&#39;m a young student interested in computers, and I really enjoy your videos every time! Thank you for making these awesome videos!",0.0
"Love the video, and it is crazy how much more detailed these topics really are. The amount of work that was put into developing all the technologies we have right now is crazy. For example, he talked about RAM and the CPU, but the computer architecture for how we access RAM ( l1 cache, l2 cache, page table etc) and the interaction with the CPU through different channels is such a mind boggling process.",0.0
\usepackage{iLoveYou},0.0
"Well we nerds watch it anyways .... : ) , good job mate : )",0.0
"great video but so many unrelated cut  scenes , hard to understand what he is saying",0.0
Man I love this,0.0
