,text
0,BE computer science complete I want any job
1,Pcm
2,Did BE computer science required pcb or pcm?
3,Bogus and half knowledge video. Wasted 3 minutes of my life here.  No clarity on college no clarity what will be cutoff. Because of lady gali dena ka man nai karta
4,Cs seDiploma engineering ke bad be karna chahte hain to kahan se theek rahega karne ke liye duration kya hoga aur one year ki fee kitni padegi
5,Sir do I need to study coding for BE computer science
6,U r bery bery semxy😂
7,Mam classes chala dijiye electrical engineering entrance exam ki plz mam
8,Can you make video on subjects
9,Nooo
10,Mam 4 years fees in approx 1.5 L or per year fees is this
11,Mainai clg cs sai nh kara hai but clg mai jo study hoti  uska knowledge lena ho toh kaisai le sakte hai
12,Books
13,BE ke
14,Subject konse he
15,Subjects konte rhahtat
16,Mam abhi best opportunities cse me hai kya aur placements kaise hai
17,Which on i will chhose cse computer science or be computer science which one is better corse.
18,Job ke sath BE kar sakte hai
19,Sub bekaar hai kuch bhi salary nhi hai engg m
20,Plz make a video about subjects in be computer science
21,Thnaks
22,Be Kar toh rhe toh Kaya usme physics bhi hota hai kaya
23,B.e me practice karaya jata hai ya nhi
24,12th ka be emailed mission Kaise len
25,How many subject in BE computer science
26,Kya iske liye IIT nikalna padega .
27,how is niet college in noida
28,So this is basically the information given on any website on searching what cse is. Except it speaks.
29,Bansal birts me C&#39;s branch aaccha. He kya plz help me 😔😔😔😔
30,@Akshat __aa 92%
31,I got CSE in VIT bhopal and CE in IKG Punjab technical university. Which one I will choose. Kindly suggest .
32,Sage University Bhopal Review...
33,Trinity institute of technology Bhopal Review
34,Please make video on (Trinity College and sage University ) Bhopal       Review 💞🙏
35,Mit ujjain ka review kariye
36,Sirt bhopal ka cutoff btaiye plzz Cs main branch men
37,"Why you not making review video on NDIIT college, Delhi"
38,College ke uupar depend Hoti hein language <br><br><br>KISI kisi collegehon hoti hein kisi college mein java Hoti hein<br><br>....<br><br><br>Java for app developer &amp; application ( app) ke iye java Hoti hein <br>&amp; Python for machine-learning
39,Btech me java or python koi ak language siknaa jarure hai ki nhi
40,Hlo aap videos description me whatsaap number  pe reply nhi krtee hai
41,Bhai ap admission le rhe yhan iss sal
42,Sirt bhopal par banaiye
43,10 th main hu 😅. 😂
44,Legends watching video after 1 year 🔥
45,Kisi bhi cllg mai pade toh humko high package milte hai kya i mean agar hamara talent accha hai toh .<br>Kya hame cse mai extra knowledge paane ke liye hame extra courses karna hoga kya.<br>Kya plz Aap bataaogee
46,👍👍👍tqq so much
47,Bohot mast hai
48,Diploma mai scope hain mam
49,Iam studying in 2nd year CSE🤩🤩
50,Mene BCA kiya he to job mill sakati he kya
51,Very lonely video thanks for you
52,Thank you so much for information
53,Very nice 👍
54,CSE me Cors me bad celeriac  kitni ?
55,🙏 good lecture
56,Mai bhi aap ke jaise banna chahti
57,Cse
58,Which is best AI or CSE ???
59,Laptop kon sa le cse coding ka ly 🙏
60,Supper
61,<b>12th baad computer science</b> <b>engineering kar sakte hain kya</b> ?
62,What is the future of artificial intelligence and machine learning engineering
63,It is very helpful video
64,Hello vai BCA Course Jada Acha hoga Kay CSE Diploma konsa course <br>Karna cahiye....
65,It or cse which one is best??
66,Good.
67,Best thanks for video
68,Badya lagal h
69,Ye video dekhne wale log hai isi hisab se dekho compitition kitna high hoga aur ham abhi tak kaha pahuch paye hai...
70,Mai 12 biology se Kiya hu mujhe kya Krna chahiye ab age
71,Tell some information vdos for commerce students
72,Math 30* ha our b tech ha computer science laesakata hu Bataya
73,Math 30* ha our b tech ha computer science laesakata hu Bataya
74,Math 30* ha our b tech ha computer science laesakata hu Bataya
75,Math 30* ha our b tech ha computer science laesakata hu Bataya
76,Math 30* ha our b tech ha computer science laesakata hu Bataya
77,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya
78,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga 😓😓😓
79,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places bataya😓😓😓😓😓😓
80,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
81,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
82,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
83,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
84,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
85,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
86,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
87,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
88,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
89,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
90,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
91,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
92,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
93,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
94,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
95,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
96,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
97,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
98,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
99,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
100,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
101,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
102,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
103,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
104,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
105,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
106,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
107,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
108,10th 45% ha our ITI me kiya ha ka mean b tech kar sakata hurt places Bataya ga
109,10th ke bad kitna %me C.S.E. kar sakte hai JAC se thank you
110,Iot video we want
111,Nice vedio.... ❤️
112,Biology students ni kar sakte kya ye course please koi bhi reply karlo 🙏🏻🙏🏻
113,I think you can teach any computer language lacture
114,CSE
115,CSE  and  electronics computer science me better kaun hai
116,"College ke hisab se cse  milti hai bro, clg ne  chaha to de dete hai(Reality)<br>Maine jee nahi de fir bhi mujhe cse mili hai..."
117,12  mai kitni percentage ho or JEE advanced Mai renk kya ho 2023
118,Software Engineer kai lie bataye
119,Computer science engineering and computer science technology same hai kya
120,Your Chanel amazing💕😍 💯💯💯
121,Thank you ....very much I love you .... really a quick support you give the answer of many questions of mine 💜🥂
122,Kuch nehi sirf koii cse bolta ha or koii cs<br>Isska matlab ha computer science engineering
123,What difference between CS or CSE?
124,Thank you very much QS...you help me a lot....(◍•ᴗ•◍)❤
125,@Village Network BSCS  BANNU Un
126,kon sa college me admission Mila Bhai
127,i am 3 days ago i taken admission to computer since engineering ❤‍🩹❤💌
128,"thinks for you <a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>🥰"
129,Very helpfull get for my present time
130,Nice
131,"CS IT Preparation ke liye ye channel best h:- <a href=""https://www.youtube.com/channel/UCNburME-Ec74bow9hhvASRg"">https://www.youtube.com/channel/UCNburME-Ec74bow9hhvASRg</a>"
132,After computer science diploma. How be can data scientist
133,Bohat acha laga thanks
134,"20,000 salary 😅😅😅"
135,6-8 lakh for normal college
136,Is course me total amount kitna lag sakta hai
137,College ke upar depend karta ha placement ya marks ache hone chahiye....?
138,Physics Chemistry biology wale nhi ker skte h
139,Best
140,Gxgxxyeyifusssu i🙁
141,@Umair Khan Bhai mughe cse karna hai lekin mujhe online practice karne ka man hai toh Kya aap mujhe kisi website or app ya fir kuch aur  suggest karenge 😁
142,Bhai jis chiz me intrest hai wo chiz karo agar fir bhi samajh nahi aaya to himmat mt haro thoda dimag sant karo aur fir socho 👌ok zada lood mat lo ok
143,😅😅
144,Same
145,Youtube karle
146,No mam mujhe kuch samaj nahi aa raha mujhe konsa Kors karna chahiye mujhe bataye please 😭😭
147,How long a software engineer can work??
148,"Admission lene vaale hai btch computar science se  kya kya hota hai sbh kuch clear nhi meko,"
149,Best 👍
150,Hello
151,Iska matlab jee main me acha nahi toh job nahi? Ghanta
152,Mam only maths students hi usme addmission le sakte hai... biology students nhi le sakte
153,Nice 👍🙂
154,Bsc computer science student like here...🔥
155,Maam after pharmacy we can do computer engineering
156,Mam Maharashtra ke college ke name bolo na
157,CS vs CSE ka video banae ye plz plz
158,Very very important for students and thank you for motivated me 😊👍
159,IIT BOMBAY CSe
160,I love CSE....♥️ CSE ♥️
161,Thanks for information
162,I got cse in nit warangal
163,Ma&#39;am abhi mai 9 class mai hu.<br>Kya karna chahiye mere ko.
164,Bsc cs I choose
165,Very helpful information 👍<br>Thank you 😊
166,Thanks
167,It
168,Mam IT better hoga ya cse
169,you can try for bca course
170,Noo only science student
171,&quot;12 art&quot; ke bad kar sakte he kya ye course please reply mam please please please
172,Bht achha lga vdo 🥰
173,Bio k students nhi kr skte kya
174,Thank you for this video
175,maine cse Gandhi Institute for technology  me karaya he
176,Your channel is very helpful
177,Ita tumar upore depend kore tumar skills r knowledge tumi joto high level a valo korbai oto scope thakbo job er no worries nit agartala or delhi shob kichu nijer upore thake✌🏽
178,Mam Tripura Agartala NIT se CSE krnk baad job milega yea nhi??? Job facilities k brme bataiye.....
179,Tata
180,Bielive In Yourself And Anything Is Possible
181,I like to designing
182,Indore
183,Very nice
184,Best cse course kon sa hai best placement ke liye
185,Sir mera kehna  ki diploma ke baad b tech karne keliye 1 video banye
186,Sir mera kehna  ki diploma ke baad b tech karne keliye 1 video banye
187,"Who is the best <a href=""http://b.tech/"">b.tech</a> and polytechnic CS se"
188,Thanks
189,If we first do diploma in computer science along with 11th 12th and then cse is right
190,"Bsc ke bad <a href=""http://b.tech/"">b.tech</a> karana sahi hoga for future"
191,Computer science best option  for future time
192,Absolutely right
193,Thank you mam❤️
194,+2 or diploma badh b tech hi kar sakte
195,"After diploma in computer engineering.. kya <a href=""http://b.tech/"">b.tech</a> computer science engineering kar sakte hai ?"
196,No
197,for getting admission in cse jee is compulsory?
198,IT VS CSC😍
199,Super
200,Mam or anyone else plz rpl<br>kya hum btech mech/other mei 3rd year mei CS ke specialisation ke liye apply kr skte h kya
201,💯👍🇮🇳❤️
202,Direct college me admission lena kaisa rahega mam
203,"CSE in Vel Tech Chennai<br><a href=""https://www.youtube.com/watch?v=LWO0Xw19rWY"">https://www.youtube.com/watch?v=LWO0Xw19rWY</a>"
204,Sir number send karo puchna hai apko
205,Me science se hu <br> Mera. Chemistry <br>             Biology<br>              Physics <br>Hai me kya computer science le sakta hu please datado
206,Sir do I have to study coding for BE computer science
207,Make vedio on robotics engineering scope
208,Vhffxhbknlkcyghkbnbjchv
209,Xgijojxgvkhj
210,Chknljchgkj
211,Xgihojhxhblncgvkjkv
212,Dhjcbllvkbjvkk
213,Comfort Fendi<br>Comfor tebal
214,BCA Couse
215,I am a student&#39;s of class 12 pass-out
216,I am Lal Singh lodhi
217,Hello sir
